Zone (number),  Delta (degree), Delta (encoder value)
`````````````````````````````````````````````````````
0	,	107	,	107
1	,	215	,	215
2	,	323	,	340
3	,	431	,	451
4	,	538	,	560
5	,	646	,	668
6	,	754	,	775
7	,	862	,	883
8	,	970	,	991
9	,	1077	,	1099
10	,	1185	,	1207
11	,	1293	,	1314
12	,	1401	,	1422
13	,	1509	,	1530
14	,	1616	,	1639
15	,	1724	,	1746
16	,	1832	,	1854
17	,	1940	,	1961
18	,	2048	,	2069
19	,	2155	,	2177
20	,	2263	,	2284
21	,	2371	,	2391
22	,	2479	,	2498
23	,	2586	,	2604
24	,	2694	,	2713
25	,	2802	,	2820
26	,	2910	,	2927
27	,	3018	,	3034
28	,	3125	,	3141
29	,	3233	,	3246
30	,	3341	,	3355
31	,	3449	,	3464
32	,	3557	,	3568
33	,	3664	,	3674
34	,	3772	,	3779
35	,	3880	,	3885
36	,	3988	,	3992
37	,	4096	,	4101
38	,	4203	,	4211
39	,	4311	,	4318
40	,	4419	,	4427
41	,	4527	,	4534
42	,	4634	,	4643
43	,	4742	,	4751
44	,	4850	,	4857
45	,	4958	,	4964
46	,	5066	,	5073
47	,	5173	,	5181
48	,	5281	,	5287
49	,	5389	,	5395
50	,	5497	,	5500
51	,	5605	,	5608
52	,	5712	,	5716
53	,	5820	,	5824
54	,	5928	,	5933
55	,	6036	,	6041
56	,	6144	,	6148
57	,	6251	,	6255
58	,	6359	,	6362
59	,	6467	,	6470
60	,	6575	,	6577
61	,	6682	,	6685
62	,	6790	,	6792
63	,	6898	,	6900
64	,	7006	,	7007
65	,	7114	,	7115
66	,	7221	,	7222
67	,	7329	,	7331
68	,	7437	,	7438
69	,	7545	,	7546
70	,	7653	,	7654
71	,	7760	,	7761
72	,	7868	,	7869
73	,	7976	,	7977
74	,	8084	,	8084
75	,	8192	,	8191
76	,	8299	,	8298
77	,	8407	,	8406
78	,	8515	,	8513
79	,	8623	,	8621
80	,	8730	,	8728
81	,	8838	,	8835
82	,	8946	,	8942
83	,	9054	,	9050
84	,	9162	,	9157
85	,	9269	,	9266
86	,	9377	,	9374
87	,	9485	,	9482
88	,	9593	,	9590
89	,	9701	,	9698
90	,	9808	,	9805
91	,	9916	,	9913
92	,	10024	,	10021
93	,	10132	,	10128
94	,	10240	,	10236
95	,	10347	,	10344
96	,	10455	,	10451
97	,	10563	,	10559
98	,	10671	,	10667
99	,	10778	,	10776
100	,	10886	,	10884
101	,	10994	,	10992
102	,	11102	,	11101
103	,	11210	,	11208
104	,	11317	,	11315
105	,	11425	,	11422
106	,	11533	,	11533
107	,	11641	,	11642
108	,	11749	,	11751
109	,	11856	,	11860
110	,	11964	,	11969
111	,	12072	,	12076
112	,	12180	,	12185
113	,	12288	,	12294
114	,	12395	,	12402
115	,	12503	,	12510
116	,	12611	,	12619
117	,	12719	,	12727
118	,	12826	,	12836
119	,	12934	,	12944
120	,	13042	,	13050
121	,	13150	,	13157
122	,	13258	,	13267
123	,	13365	,	13378
124	,	13473	,	13487
125	,	13581	,	13596
126	,	13689	,	13704
127	,	13797	,	13810
128	,	13904	,	13920
129	,	14012	,	14027
130	,	14120	,	14136
131	,	14228	,	14247
132	,	14336	,	14355
133	,	14443	,	14463
134	,	14551	,	14571
135	,	14659	,	14679
136	,	14767	,	14787
137	,	14874	,	14895
138	,	14982	,	15002
139	,	15090	,	15109
140	,	15198	,	15218
141	,	15306	,	15327
142	,	15413	,	15432
143	,	15521	,	15537
144	,	15629	,	15645
145	,	15737	,	15753
146	,	15845	,	15862
147	,	15952	,	15974
148	,	16060	,	16082
149	,	16168	,	16168
150	,	16276	,	16276
151	,	16383	,	16383
